name,acquisition,sectors,startDate,endDate,frequency
Adknowledge,Cubics,Advertising,2007,2008,10
Adknowledge,Media Run,Advertising,2007,2008,10
Adknowledge,Lookery,Advertising,2008,2009,10
Adknowledge,Adonomics,Advertising,2008,2009,10
Adknowledge,MIVA,Advertising,2009,2010,10
Adknowledge,KITN Media,Advertising,2009,2010,10
Adknowledge,Hydra Group,Advertising,2010,2011,10
Adknowledge,HydraMedia,Advertising,2010,2011,10
Adknowledge,AdParlor,Advertising,2011,2012,10
Adknowledge,SocialWeekend Labs,Advertising,2013,2014,10
Adobe Systems,Emerald City Software,Software,1990,1991,38
Adobe Systems,BluePoint Technologies,Hardware,1990,1991,38
Adobe Systems,OCR Systems,Software,1992,1993,38
Adobe Systems,Aldus Corp,Software,1994,1995,38
Adobe Systems,Photoshop,Software,1995,1996,38
Adobe Systems,Frame Technology,Software,1995,1996,38
Adobe Systems,Ares Software,Software,1996,1997,38
Adobe Systems,Sandcastle,Software,1997,1998,38
Adobe Systems,HyWay Ferranti,Software,1997,1998,38
Adobe Systems,DigiDox,Software,1997,1998,38
Adobe Systems,GoLive Systems,Software,1999,2000,38
Adobe Systems,Fotiva,Software,2001,2002,38
Adobe Systems,Accelio Corporation,Software,2002,2003,38
Adobe Systems,OKYZ,Software,2004,2005,38
Adobe Systems,Macromedia,Software,2005,2006,38
Adobe Systems,Navisware,Software,2005,2006,38
Adobe Systems,Trade and Technologies France,Software,2006,2007,38
Adobe Systems,Pixmantec,Software,2006,2007,38
Adobe Systems,InterAKT,Software,2006,2007,38
Adobe Systems,Serious Magic,Software,2006,2007,38
Adobe Systems,Amicima,Software,2006,2007,38
Adobe Systems,Virtual Ubiquity,Software,2007,2008,38
Adobe Systems,Adobe Scene7,Software,2007,2008,38
Adobe Systems,YaWah,Software,2008,2009,38
Adobe Systems,Omniture,Advertising,2009,2010,38
Adobe Systems,GoodBarry,Software,2009,2010,38
Adobe Systems,Day Software,Software,2010,2011,38
Adobe Systems,Typekit,Software,2011,2012,38
Adobe Systems,IRIDAS,Software,2011,2012,38
Adobe Systems,Efficient Frontier,Advertising,2011,2012,38
Adobe Systems,Demdex,Advertising,2011,2012,38
Adobe Systems,EchoSign,Software,2011,2012,38
Adobe Systems,Auditude,Advertising,2011,2012,38
Adobe Systems,Nitobi Software,Software,2011,2012,38
Adobe Systems,Behance,Social,2012,2013,38
Adobe Systems,Thumb Labs,Mobile,2013,2014,38
Adobe Systems,Neolane,Software,2013,2014,38
Adobe Systems,Ideacodes,Media,2013,2014,38
Amazon,Bookpages,Other,1998,1999,36
Amazon,IMDB,Media,1998,1999,36
Amazon,Accept.Com,eCommerce,1999,2000,36
Amazon,Exchange.Com,eCommerce,1999,2000,36
Amazon,Alexa,Other,1999,2000,36
Amazon,CDNOW,eCommerce,2003,2004,36
Amazon,BookSurge,Other,2005,2006,36
Amazon,Mobipocket.com,Mobile,2005,2006,36
Amazon,CustomFlix,Media,2005,2006,36
Amazon,Shopbop,eCommerce,2006,2007,36
Amazon,dpreview,Other,2007,2008,36
Amazon,Brilliance Audio,eCommerce,2007,2008,36
Amazon,Shelfari,Social,2008,2009,36
Amazon,Fabric.com,eCommerce,2008,2009,36
Amazon,Audible,Media,2008,2009,36
Amazon,AbeBooks,eCommerce,2008,2009,36
Amazon,Reflexive Entertainment,Gaming,2008,2009,36
Amazon,Without A Box,Media,2008,2009,36
Amazon,Zappos,eCommerce,2009,2010,36
Amazon,SnapTell,Advertising,2009,2010,36
Amazon,Lexcycle,Mobile,2009,2010,36
Amazon,Amie Street,Social,2010,2011,36
Amazon,Woot,ecommerce,2010,2011,36
Amazon,Touchco,Hardware,2010,2011,36
Amazon,Quidsi,eCommerce,2010,2011,36
Amazon,Quorus,Software,2011,2012,36
Amazon,Pushbutton,Gaming,2011,2012,36
Amazon,The Book Depository,eCommerce,2011,2012,36
Amazon,LOVEFiLM,Gaming,2012,2013,36
Amazon,TeachStreet,Other,2012,2013,36
Amazon,UpNext,Mobile,2012,2013,36
Amazon,Kiva Systems,Hardware,2012,2013,36
Amazon,Liquavista,Hardware,2013,2014,36
Amazon,IVONA Text-To-Speech,Software,2013,2014,36
Amazon,Goodreads,Search,2013,2014,36
Amazon,Screentech,Hardware,2013,2014,36
AOL,BookLink Technologies,Software,1994,1995,56
AOL,NaviSoft,Software,1994,1995,56
AOL,Medior,Other,1995,1996,56
AOL,Johnson-Grace,Other,1996,1997,56
AOL,ImagiNation Network,Gaming,1996,1997,56
AOL,Global Network Navigator,Advertising,1996,1997,56
AOL,CompuServe,Services,1997,1998,56
AOL,Netscape,Software,1998,1999,56
AOL,Personal Library Software,Search,1998,1999,56
AOL,When,Mobile,1999,2000,56
AOL,Spinner.com,Media,1999,2000,56
AOL,MapQuest,Other,1999,2000,56
AOL,Nullsoft,Media,1999,2000,56
AOL,MovieFone,Media,1999,2000,56
AOL,Quack,Social,2000,2001,56
AOL,iAmaze,Software,2000,2001,56
AOL,eVoice,Social,2001,2002,56
AOL,InfoInterActive,Software,2001,2002,56
AOL,Singing Fish,Media,2003,2004,56
AOL,Advertising.com,Advertising,2004,2005,56
AOL,Xdrive,Software,2005,2006,56
AOL,Weblogs,Other,2005,2006,56
AOL,MusicNow,Media,2005,2006,56
AOL,WildSeed,Mobile,2005,2006,56
AOL,MailBlocks,Other,2005,2006,56
AOL,Userplane,Software,2006,2007,56
AOL,Truveo,Search,2006,2007,56
AOL,Lightningcast,Advertising,2006,2007,56
AOL,Relegence,Media,2006,2007,56
AOL,GameDaily,Gaming,2006,2007,56
AOL,Third Screen Media,Advertising,2007,2008,56
AOL,Tacoda,Advertising,2007,2008,56
AOL,Quigo,Advertising,2007,2008,56
AOL,Yedda,Social,2007,2008,56
AOL,ADTECHIQ,Advertising,2007,2008,56
AOL,Surphace,Other,2008,2009,56
AOL,Socialthing,Social,2008,2009,56
AOL,Goowy,Software,2008,2009,56
AOL,buy.at,Advertising,2008,2009,56
AOL,Sphere,Mobile,2008,2009,56
AOL,Going,Social,2009,2010,56
AOL,Emurse,Other,2009,2010,56
AOL,Patch,Media,2009,2010,56
AOL,MMAFighting.com,MEdia,2009,2010,56
AOL,TechCrunch,Media,2010,2011,56
AOL,5min Media,Media,2010,2011,56
AOL,Thing Labs,Software,2010,2011,56
AOL,StudioNow,Media,2010,2011,56
AOL,Pictela,Advertising,2010,2011,56
AOL,Unblab,Social,2010,2011,56
AOL,Rally Up,Social,2010,2011,56
AOL,Outside.in,Media,2011,2012,56
AOL,Huffington Post,Other,2011,2012,56
AOL,Hipster,Social,2012,2013,56
AOL,Certify Data Systems,Software,2012,2013,56
